id,picture,color1,color2,name,budget,investissement,fonctionnement,part,axes
1,pilotis,#40636b,#6a99a9,"Actions européennes, internationales et tourisme","214,1","111,7","102,5","5,1",
2,gare,#aa5129,#dd6940,Transports et mobilités,"1503,8",738,"765,8","35,9",
3,cinema,#245f7f,#5b90a3,Culture,93,"40,7","52,4","2,2",
4,hopital,#507568,#6aa08d,"Social, santé, famille","217,4","18,5",199,"5,2",
6,conseil-regional,#b27f5d,#d19b7d,Administration régionale,"83,7","21,5","62,3",2,
7,nouvel-amenagement,#a56434,#cc7236,Aménagement,"70,8","51,4","19,4","1,7",
8,universite,#a3522f,#cc6440,Enseignement supérieur et recherche,"103,5","78,6","24,9","2,5",
9,rampe,#a3553c,#cf7857,"Sports, loisirs, jeunesse, vie associative, citoyenneté","69,4","46,4",23,"1,7",
10,securite,#32664c,#4a8467,Sécurité,"21,8",21,"0,8","0,5",
11,usine,#5e6e72,#748589,"Développement économique, innovation","185,9",141,"44,9","4,4",
12,lycee,#b57e47,#d18f59,Enseignement secondaire,"774,4",505,"269,4","18,5",
13,boulangerie,#ad4944,#e55f51,"Formation professionnelle, apprentissage, emploi",622,28,594,"14,8",
14,immeuble,#cc5d1f,#ef6926,Logement et politique de la ville,"92,1","91,1",1,"2,2",
15,foret,#9b9e12,#bcbc1b,Environnement et énergie,"108,3","86,1","22,2","2,6",
16,tracteur,#f75301,#f79c6f,Agriculture et ruralité,"32,7","22,5","10,2","0,8",
